RANK,TOTAL,SFW_INDIVIDUAL,SFW_GROUP,NSFW_INDIVIDUAL,NSFW_GROUP,NSFW_PERCENT,CHARACTER,SERIE
1,295,27,1,250,17,90.5,rias,dxd
2,255,3,1,216,35,98.4,nami,one-piece
3,246,10,1,229,6,95.5,marin,dress-up-darling
4,227,9,1,189,28,95.6,robin,one-piece
5,222,3,1,205,13,98.2,yor,spy-x-family
6,212,12,4,170,26,92.5,frieren,frieren
7,181,6,0,159,16,96.7,hinata,naruto
8,146,6,3,113,24,93.8,fern,frieren
9,145,9,1,123,12,93.1,boa,one-piece
10,144,6,0,126,12,95.8,fubuki,one-punch
11,125,25,4,89,7,76.8,asuka,evangelion
12,125,17,0,106,2,86.4,2b,nier
13,117,2,0,99,16,98.3,makima,chainsaw-man
14,116,2,0,111,3,98.3,yoruichi,bleach
15,114,6,1,106,1,93.9,zelda,zelda
16,114,3,0,102,9,97.4,asuna,sao
17,111,6,1,87,17,93.7,akeno,dxd
18,110,13,8,70,19,80.9,aqua,konosuba
19,109,6,0,94,9,94.5,yaoyorozu,mha
20,106,5,0,95,6,95.3,tsunade,naruto
21,105,8,7,70,20,85.7,darkness,konosuba
22,101,5,0,93,3,95.0,cynthia,pokemon
23,101,15,1,83,2,84.2,rin,fate
24,99,11,0,75,13,88.9,tatsumaki,one-punch
25,97,1,1,87,8,97.9,alya,alya
26,94,1,0,87,6,98.9,noelle,black-clover
27,91,1,0,82,8,98.9,vivi,one-piece
28,90,12,0,78,0,86.7,albedo,overlord
29,89,2,0,80,7,97.8,tifa,ff7
30,84,2,0,68,14,97.6,reze,chainsaw-man
31,82,6,0,61,15,92.7,erza,fairy-tail
32,80,7,0,62,11,91.2,ochako,mha
33,77,18,10,34,15,63.6,megumin,konosuba
34,73,3,0,67,3,95.9,chizuru,rent-a-girlfriend
35,71,7,0,64,0,90.1,esdeath,akame-ga-kill
36,71,1,0,63,7,98.6,sakura,naruto
37,69,12,4,47,6,76.8,miku,quintessential
38,66,31,0,31,4,53.0,shinon,sao
39,63,19,2,33,9,66.7,ryuko,kill-la-kill
40,62,14,1,34,13,75.8,mikasa,aot
41,60,2,0,57,1,96.7,nejire,mha
42,58,2,0,55,1,96.6,rangiku,bleach
43,55,0,0,52,3,100.0,yamato,one-piece
44,53,7,2,41,3,83.0,ann,persona-5
45,53,5,1,46,1,88.7,nagatoro,nagatoro
46,52,8,1,40,3,82.7,komi,komi-san
47,52,3,0,39,10,94.2,ino,naruto
48,51,13,4,29,5,66.7,rei,evangelion
49,50,1,0,45,4,98.0,suguha,sao
50,49,6,0,32,11,87.8,lucy,fairy-tail
51,49,2,0,42,5,95.9,c18,dragon-ball
52,47,0,0,40,7,100.0,bulma,dragon-ball
53,45,15,1,29,0,64.4,mai,bunny-girl-senpai
54,45,0,0,42,3,100.0,mirko,mha
55,44,6,1,37,0,84.1,kohaku,dr-stone
56,44,0,0,44,0,100.0,samus,nintendo
57,44,0,0,41,3,100.0,ubel,frieren
58,43,5,1,30,7,86.0,satsuki,kill-la-kill
59,43,3,0,38,2,93.0,orihime,bleach
60,41,0,0,35,6,100.0,aerith,ff7
61,40,8,5,26,1,67.5,maomao,kusuria-no-hitorigoto
62,40,2,0,35,3,95.0,midnight,mha
63,40,1,0,29,10,97.5,hanabi,naruto
64,40,1,0,24,15,97.5,raven,dc
65,40,11,0,27,2,72.5,mercy,overwatch
66,39,10,8,20,1,53.8,erina,shokugeki-no-souma
67,38,7,1,29,1,78.9,chika,kaguya-sama
68,38,0,0,36,2,100.0,nessa,pokemon
69,37,3,0,25,9,91.9,serena,pokemon
70,37,1,0,36,0,97.3,saeko,high-school-of-the-dead
71,32,0,0,25,7,100.0,peach,nintendo
72,31,4,2,22,3,80.6,makoto,persona-5
73,31,3,2,25,1,83.9,mari,evangelion
74,31,3,0,25,3,90.3,ruka,rent-a-girlfriend
75,31,12,0,17,2,61.3,saber,fate
76,30,9,1,20,0,66.7,yoko,gurren-lagann
77,30,6,2,22,0,73.3,raphtalia,shield-hero
78,30,0,0,15,15,100.0,starfire,dc
79,29,0,0,25,4,100.0,mimosa,black-clover
80,28,8,1,19,0,67.9,hestia,danmachi
81,28,7,0,19,2,75.0,rikka,gridman
82,28,5,1,12,10,78.6,temari,naruto
83,28,3,4,16,5,75.0,nino,quintessential
84,28,2,0,25,1,92.9,nagant,mha
85,28,2,0,15,11,92.9,annie,aot
86,28,1,1,26,0,92.9,juvia,fairy-tail
87,28,1,0,25,2,96.4,leafa,sao
88,27,3,0,23,1,88.9,xenovia,dxd
89,27,0,0,19,8,100.0,kushina,naruto
90,26,3,0,19,4,88.5,mina,mha
91,26,2,1,22,1,88.5,toph,avatar
92,26,1,1,19,5,92.3,yuki,alya
93,25,7,8,8,2,40.0,kaho,blend-s
94,25,2,0,23,0,92.0,marcille,dungeon-meshi
95,24,6,2,16,0,66.7,ais,danmachi
96,24,3,4,17,0,70.8,ichika,quintessential
97,24,2,0,20,2,91.7,toga,mha
98,24,1,0,22,1,95.8,camie,mha
99,24,1,0,22,1,95.8,anna,makeine
100,24,0,0,24,0,100.0,gwen-tennyson,ben-10
101,24,0,0,16,8,100.0,fiona,spy-x-family
102,23,8,0,15,0,65.2,akame,akame-ga-kill
103,23,0,1,22,0,95.7,kaoruko,fragrant-flower
104,22,6,1,14,1,68.2,horikita,cote
105,22,2,1,19,0,86.4,azula,avatar
106,22,2,2,18,0,81.8,riza,fma
107,22,1,0,19,2,95.5,rukia,bleach
108,22,1,1,18,2,90.9,wiz,konosuba
109,22,1,0,14,7,95.5,videl,dragon-ball
110,22,0,0,19,3,100.0,alice-zuberg,sao
111,21,9,2,9,1,47.6,misaka,railgun
112,21,9,8,2,2,19.0,maika,blend-s
113,21,7,4,9,1,47.6,alice,shokugeki-no-souma
114,21,7,3,9,2,52.4,yukino,oregairu
115,21,4,1,12,4,76.2,koneko,dxd
116,21,3,1,15,2,81.0,yunyun,konosuba
117,21,15,6,0,0,0.0,kaori,your-lie-in-april
118,21,1,0,20,0,95.2,rebecca,one-piece
119,20,6,5,8,1,45.0,kaguya,kaguya-sama
120,20,4,0,14,2,80.0,cc,code-geass
121,20,18,2,0,0,0.0,saitama,one-punch
122,20,1,0,18,1,95.0,kei,cote
123,20,1,1,15,3,90.0,masha,alya
124,20,0,0,20,0,100.0,kikoru,kaiju
125,20,0,0,14,6,100.0,momo-ayase,dandadan
126,19,2,0,17,0,89.5,mami,rent-a-girlfriend
127,19,0,0,17,2,100.0,lusamine,pokemon
128,18,6,4,7,1,44.4,itsuki,quintessential
129,18,5,1,7,5,66.7,asia,dxd
130,18,2,0,15,1,88.9,mei,mha
131,18,2,0,14,2,88.9,shion,tensura
132,18,1,0,17,0,94.4,takamine,takamine
133,18,1,0,17,0,94.4,tamaki,fire-force
134,18,11,3,3,1,22.2,chitoge,nisekoi
135,18,1,0,13,4,94.4,yoru,chainsaw-man
136,18,0,0,18,0,100.0,irina,dxd
137,17,15,2,0,0,0.0,nao,charlotte
138,17,1,0,16,0,94.1,nano,100-kanojos
139,17,1,0,12,4,94.1,tenten,naruto
